Ambulance_ID,Ambulance_Type,Latitude,Longitude,Availability
AMB_0001,Advanced Life Support,26.865247357088037,75.67448569984262,Busy
AMB_0002,Basic Life Support,26.922350669795357,75.92089175490617,Available
AMB_0003,Advanced Life Support,26.938854276423555,75.94026111900897,Busy
AMB_0004,Basic Life Support,26.886701356232788,75.67627479481924,Available
AMB_0005,Advanced Life Support,26.90586445086429,75.76762286875966,Busy
AMB_0006,Basic Life Support,26.810082189829416,75.85053963776099,Available
AMB_0007,Basic Life Support,26.84228437240258,75.66769424536095,Maintenance
AMB_0008,Basic Life Support,26.792718575222604,75.9948619010745,Available
AMB_0009,Advanced Life Support,26.979211058701164,75.76399458257056,Busy
AMB_0010,Basic Life Support,26.990146289975918,75.80871619944634,Available
AMB_0011,Basic Life Support,26.823191457958746,75.8185665824623,Available
AMB_0012,Basic Life Support,26.99387524423486,75.68244319238708,Maintenance
AMB_0013,Advanced Life Support,26.9792283097193,75.80874169299439,Maintenance
AMB_0014,Advanced Life Support,26.776023068191442,75.98512515000793,Available
AMB_0015,Basic Life Support,26.809103727512063,75.90378956504166,Available
AMB_0016,Basic Life Support,26.966753788631333,75.97478827501308,Busy
AMB_0017,Advanced Life Support,26.75565884189047,75.94557511276896,Maintenance
AMB_0018,Advanced Life Support,26.832542325567065,75.75745499295293,Available
AMB_0019,Basic Life Support,26.770138545621386,75.9482190269683,Available
AMB_0020,Advanced Life Support,26.96482504351247,75.92982960284321,Available
AMB_0021,Advanced Life Support,26.959523753802333,75.86405275494145,Available
AMB_0022,Critical Care,26.798210164528065,75.68201137662889,Available
AMB_0023,Advanced Life Support,26.79177895227557,75.6524805168494,Available
AMB_0024,Basic Life Support,26.867075163466254,75.88787902463336,Available
AMB_0025,Advanced Life Support,26.78779482778557,75.66156683100972,Busy
AMB_0026,Basic Life Support,26.78173512146173,75.65662614870207,Available
AMB_0027,Basic Life Support,26.81109485911713,75.83760094791927,Available
AMB_0028,Basic Life Support,26.831574351344877,75.92292575425509,Available
AMB_0029,Basic Life Support,26.858357808872974,75.93363024692175,Busy
AMB_0030,Advanced Life Support,26.866361981475404,75.91332496300939,Available
AMB_0031,Basic Life Support,26.819794397487843,75.90530739474943,Available
AMB_0032,Advanced Life Support,26.960551120896667,75.72995672695956,Available
AMB_0033,Basic Life Support,26.83302876173695,75.89885019704832,Busy
AMB_0034,Advanced Life Support,26.811448309924334,75.9001543262115,Available
AMB_0035,Advanced Life Support,26.752513730904372,75.87067404765298,Maintenance
AMB_0036,Basic Life Support,26.97123110220046,75.94488902233302,Available
AMB_0037,Advanced Life Support,26.843371930774865,75.76602842036293,Available
AMB_0038,Critical Care,26.891069766602044,75.69979910133003,Available
AMB_0039,Advanced Life Support,26.754178543996847,75.99488939659493,Busy
AMB_0040,Advanced Life Support,26.821365571149432,75.94860427078501,Available
AMB_0041,Basic Life Support,26.851883514955617,75.71002570171275,Available
AMB_0042,Critical Care,26.971159466723886,75.83880449014849,Available
AMB_0043,Advanced Life Support,26.93706998651931,75.7372338239857,Available
AMB_0044,Basic Life Support,26.860229394488503,75.80272349018958,Busy
AMB_0045,Basic Life Support,26.80005043118874,75.72619649259175,Available
AMB_0046,Basic Life Support,26.971624814504743,75.82792970245085,Available
