Hospital_ID,Hospital_Type,Latitude,Longitude,Hospital_Capacity,Current_Load,ICU_Capacity,Current_ICU_Load
HOSP_001,Specialty Hospital,26.91466862422784,75.73941526753201,274,100,33,7
HOSP_002,General,26.941742107545572,75.74212367998304,142,135,47,0
HOSP_003,General,26.897261609150487,75.74397939905461,219,49,19,3
HOSP_004,Trauma Center,26.97865375292081,75.94417780916379,105,55,28,4
HOSP_005,Specialty Hospital,26.792719293419125,75.74636163596445,267,143,31,2
HOSP_006,Trauma Center,26.797737136850312,75.75038903800662,429,356,42,16
HOSP_007,General,26.758182809849497,75.74785618347272,157,64,20,11
HOSP_008,General,26.960869338695115,75.91595880331785,135,68,25,14
HOSP_009,Trauma Center,26.9752715624443,75.81029685505766,450,218,43,4
HOSP_010,Trauma Center,26.88070848050497,75.9199880521468,216,210,15,14
HOSP_011,General,26.76717121736884,75.75593713805033,134,52,29,26
HOSP_012,General,26.908068839575673,75.90818912259292,457,39,17,7
HOSP_013,General,26.769028283610844,75.95265347670949,130,26,9,2
HOSP_014,Specialty Hospital,26.768088211742302,75.93597367245944,460,394,37,33
HOSP_015,General,26.774264728341336,75.87678431219018,482,116,17,8
HOSP_016,General,26.768265360544234,75.85100611942579,87,60,12,2
HOSP_017,Cardiac Center,26.918361274013915,75.77975530797067,263,217,10,8
HOSP_018,General,26.784649980084147,75.65127759311093,291,291,48,36
HOSP_019,General,26.853789239267325,75.85965440151091,352,289,22,21
HOSP_020,General,26.86056378083179,75.89968286528351,471,36,21,14
HOSP_021,Trauma Center,26.954663407224604,75.98839006133544,141,128,48,14
HOSP_022,Specialty Hospital,26.777541785477357,75.7402886832797,272,135,44,0
HOSP_023,Specialty Hospital,26.995205719849704,75.70046678854915,431,125,28,16
HOSP_024,Cardiac Center,26.762508889552063,75.99226982770548,282,221,29,5
HOSP_025,Cardiac Center,26.97417898693418,75.89927793685446,206,154,28,28
HOSP_026,Trauma Center,26.961044483882752,75.96227251148225,315,261,39,8
HOSP_027,Cardiac Center,26.78360912486496,75.68977614701443,406,87,5,1
HOSP_028,Trauma Center,26.974219232175816,75.94349561908088,310,74,40,39
HOSP_029,Trauma Center,26.909228780473395,75.8173033711439,92,75,19,15
HOSP_030,General,26.89561753119826,75.7652325648147,310,221,16,16
HOSP_031,Specialty Hospital,26.850228656747678,75.78301220289563,482,221,22,3
HOSP_032,Trauma Center,26.955568150741165,75.71922668381197,436,308,39,19
HOSP_033,General,26.845161194062673,75.82198796723165,444,419,34,1
HOSP_034,Cardiac Center,26.81701815997609,75.86211512341245,263,102,7,6
HOSP_035,General,26.833140462754965,75.79566850199261,189,56,23,22
HOSP_036,Specialty Hospital,26.759038078699337,75.9673386455305,414,127,40,26
HOSP_037,General,26.983574610677355,75.6751172370954,196,96,22,12
HOSP_038,Cardiac Center,26.92796050332436,75.83897886099365,233,142,17,1
HOSP_039,General,26.99384481422802,75.66000172808965,398,305,44,23
HOSP_040,General,26.985925924282192,75.71552177362354,179,176,22,14
HOSP_041,Trauma Center,26.77206741134266,75.69111433643805,181,96,37,25
HOSP_042,General,26.907952648354232,75.77796379338676,75,61,27,11
HOSP_043,Trauma Center,26.863665346816468,75.85020470818338,139,69,29,12
HOSP_044,General,26.911144103741506,75.91609630070411,360,195,10,9
HOSP_045,Cardiac Center,26.90645127554959,75.86599153260853,468,124,17,8
HOSP_046,General,26.92528370091708,75.65310334873955,180,63,27,22
HOSP_047,General,26.789849291712542,75.73741246028588,161,75,29,0
HOSP_048,Cardiac Center,26.96475987500391,75.98447172361516,485,87,10,2
