Feature,Critical,Emergency,Low,Moderate,Non-Urgent,Mean_Absolute_Coefficient
numeric__GCS,-2.850800536756527,-1.4756804411768931,1.3792280233344127,-0.08002235646895549,3.0272753110679798,1.7626013337609536
categorical__Condition_Respiratory,-2.9848358600198166,-1.368990716965312,1.3809324826626075,-0.03549215800463949,3.008386252327136,1.7557274939959022
numeric__SpO2,-2.670252440618725,-1.3522457570639923,1.3273517794880152,-0.0040620717211596186,2.6992084899158617,1.6106241077615508
categorical__Condition_Other,2.115086227631761,1.097779500270268,-0.9646413763489903,0.14438819194904126,-2.392612543502104,1.3429015679404326
numeric__Heart_Rate,1.8262762038156957,0.9242829251702802,-0.9114533792544859,-0.006879238539170286,-1.832226511192332,1.1002236515943928
numeric__Pain_Score,1.710052982000628,0.8110275946591451,-0.8384500590661431,-0.007815330781085301,-1.6748151868125434,1.0084322306639089
numeric__Respiratory_Rate,1.4599997738828043,0.7358948880314198,-0.756242967104657,-0.004752541419012525,-1.434899153390553,0.8783578647656893
categorical__Condition_Gastrointestinal,1.1772825749293576,0.7006471558602517,-0.5518764503267203,0.2237581307890395,-1.5498114112519272,0.8406751446314594
categorical__Injury_Type_No Injury,0.12029811667857404,0.5933002138495225,-0.05742437083112185,0.559059787615012,-1.2152337473119939,0.5090632472572448
numeric__Systolic_BP,-0.7690495911764532,-0.3651833537072326,0.37283016353757054,-0.009200309046136947,0.7706030903922577,0.45737330157193024
categorical__Sex_Female,-0.035212145319785726,0.5116241193390879,0.00921545747193391,0.5461193853771141,-1.0317468168683595,0.42678358487525614
categorical__Sex_Male,-0.037656441276955874,0.5249602808753383,-0.0011088990509250157,0.5302945439497803,-1.0164894844972383,0.4221019299300476
categorical__Condition_Trauma,-0.1931667032753169,0.44328418636489414,0.06553092925213112,0.5173541417118936,-0.8330025540535961,0.4104677029315663
categorical__Consciousness_Alert,-0.38470046592159807,0.32668640005795024,0.17213436847925492,0.4240721934876705,-0.5381924961032798,0.36915718480995074
numeric__Blood_Glucose,0.5899295539950632,0.2950597211347711,-0.3012981633808063,-0.0029416881177419117,-0.580749423631294,0.3539957100519353
numeric__Respiratory_Distress,0.4162227226376592,0.2640261245815503,-0.17455516451869338,0.07762327657018628,-0.583316959270709,0.3031488495157596
categorical__Arrival_Mode_Walk-in,0.005759425185730181,0.3618387121687252,-0.006158326773630218,0.3728544966769159,-0.7342943072577429,0.2961810536125489
categorical__Arrival_Mode_Referral,-0.054079689234675064,0.3434693827635424,0.009578865951744413,0.3697617713097782,-0.6687303307903898,0.28912400801002597
categorical__Consciousness_Confused,0.10136136343391487,0.27515101528221686,0.04229243474294132,0.26976587289941095,-0.6885706863584783,0.2754282745433924
categorical__Arrival_Mode_Ambulance,-0.024548322547797624,0.3312763052821572,0.004686019242892359,0.33379766134020566,-0.6452116633174559,0.26790399434610174
categorical__Condition_Infection,-0.4790801844430365,-0.1843617388360279,0.3441276163869335,0.11050163038393009,0.2088126765082027,0.2653767693116262
categorical__Oxygen_Requirement_Oxygen Mask,0.02799835103369093,0.2849930109638872,0.055533674928269355,0.2881709643409632,-0.656696001266817,0.26267840050672553
categorical__Condition_Cardiac,0.2743540388122871,0.27052801209968597,-0.19840263167600142,0.08476284546818606,-0.43124226470416066,0.2518579585520642
categorical__Oxygen_Requirement_Ventilator,-0.052714237133557974,0.2830362654135415,-0.0916105741158578,0.33572644601040386,-0.47443790017453114,0.24750508456957845
categorical__Consciousness_Drowsy,0.0842693521505569,0.21466452804853833,0.027680935016286268,0.2056014564264182,-0.5322162716417927,0.2128865086567185
categorical__Consciousness_Unconscious,0.126201163740387,0.22008245682571909,-0.23400117981748197,0.17697440651340351,-0.28925684726202977,0.2093032108318043
numeric__Temperature,0.33839380474463776,0.15551355389771382,-0.16543760630812945,-0.007626798513724713,-0.320842953820502,0.19756294345694153
categorical__Oxygen_Requirement_No Oxygen,-0.025285486645617604,0.23750845821909233,0.021202876008700907,0.22804751339568485,-0.46147336097785147,0.19470353904938942
categorical__Oxygen_Requirement_Nasal Cannula,-0.022867213851255726,0.23104666561790538,0.022980581599895612,0.22446900557984595,-0.4556290389463921,0.19139850111905896
numeric__Bleeding,0.24848157295682846,0.15618100742911364,-0.09895159206153359,0.0453194743242723,-0.3510304626486767,0.17999282188408494
categorical__Injury_Type_Head Injury,-0.053374271171616826,0.17104792005412944,0.08084912729150663,0.18222894180008284,-0.38075171797410046,0.17365039565828724
categorical__Injury_Type_Internal Injury,-0.03431076464537484,0.13815536292521066,0.0493871795341853,0.13975896324817702,-0.2929907410621991,0.13092060228302937
numeric__Chest_Pain,0.18302792811552465,0.11188437805738521,-0.08504185391243815,0.022198882402041355,-0.23206933466251553,0.12684447542998098
